Liquidus temperature,Solidus temperature,Mole fraction Ti,Mole fraction Zr,Mole fraction Hf,Mole fraction V,Mole fraction Nb,Mole fraction Ta,Mole fraction Cr,Mole fraction Mo,Mole fraction W,Mole fraction Re
2260.53704,1784.49512,0.11954,0.0651,0.1867,0.10904,0.13431,0.07451,0.13922,0.13072,0.04075,0.0001
2122.58532,1721.20811,0.11928,0.11501,0.18888,0.14342,0.09379,0.06437,0.14614,0.06235,0.04553,0.02123
2667.50972,2060.79184,0.09079,0.09421,0.06784,0.09338,0.09555,0.11322,0.06765,0.08897,0.11458,0.17381
2492.31662,1892.25183,0.09959,0.14263,0.08171,0.10003,0.09231,0.09723,0.08235,0.08689,0.09116,0.1261
2694.95485,1997.23727,0.07777,0.15109,0.01462,0.10338,0.0889,0.13131,0.05846,0.08753,0.11127,0.17567
2012.3132,1726.14502,0.2509,0.09355,0.19669,0.10126,0.22756,0.00716,0.10348,0.0192,0.0001,0.0001
2502.23208,1936.77325,0.10368,0.11262,0.10247,0.09581,0.09497,0.0921,0.08443,0.08623,0.09557,0.13212
2287.3736,1787.22741,0.11405,0.11824,0.15125,0.11783,0.09409,0.07919,0.12311,0.0674,0.06929,0.06555
2390.33779,1848.18467,0.10864,0.0638,0.16024,0.10749,0.11417,0.09327,0.12386,0.11417,0.07686,0.03751
2244.43983,1757.7774,0.1208,0.09449,0.18151,0.11733,0.11967,0.07785,0.1272,0.0974,0.05193,0.01183
1949.45299,1853.97526,0.15871,0.79234,0.0001,0.0001,0.0001,0.0001,0.01804,0.02507,0.0001,0.00533
2400.57153,1765.60634,0.09787,0.18893,0.05662,0.11734,0.09282,0.10588,0.1025,0.07678,0.07262,0.08864
2178.7499,1735.18019,0.11962,0.11785,0.17222,0.13028,0.09467,0.0731,0.14522,0.05308,0.05695,0.037
2354.48677,1831.59375,0.11232,0.09619,0.15571,0.10898,0.10216,0.08393,0.11168,0.08651,0.07488,0.06765
2552.61469,1918.55588,0.09391,0.15508,0.05385,0.09761,0.09393,0.10681,0.07149,0.09253,0.09532,0.13949
2640.30147,1979.61105,0.08906,0.1338,0.04622,0.09428,0.09257,0.11355,0.06288,0.09123,0.10835,0.16806
2724.82313,2031.30815,0.07227,0.15259,0.00489,0.10792,0.08671,0.13957,0.05632,0.0852,0.11397,0.18056
2310.08869,1806.06696,0.11391,0.10669,0.15793,0.11474,0.0974,0.07999,0.1176,0.07358,0.07123,0.06693
2326.15524,1824.21973,0.11327,0.05195,0.18054,0.11372,0.12646,0.08201,0.13014,0.14215,0.05967,0.0001
2370.56099,1842.12861,0.11038,0.11347,0.13829,0.10755,0.0936,0.08259,0.10616,0.07748,0.08006,0.09042
2645.60744,2073.80705,0.08229,0.02796,0.11211,0.10226,0.08722,0.11066,0.11921,0.12391,0.12535,0.10902
2701.99286,2145.63302,0.08392,0.05103,0.08778,0.09522,0.07934,0.10763,0.09352,0.09843,0.13337,0.16975
2015.71457,1976.12052,0.43401,0.20783,0.34982,0.0001,0.0001,0.0001,0.0001,0.00774,0.0001,0.0001
2458.84343,1905.48836,0.10015,0.04273,0.15154,0.1074,0.11137,0.10189,0.12743,0.12525,0.08915,0.0431
2701.365,2145.76924,0.08395,0.05081,0.08813,0.0952,0.07923,0.10744,0.09376,0.09853,0.13341,0.16952
2417.49621,1792.55056,0.09874,0.17591,0.06635,0.1135,0.09239,0.10285,0.09849,0.07878,0.07677,0.09622
2240.28267,1759.81552,0.12024,0.10035,0.18037,0.12033,0.11522,0.07687,0.12312,0.08717,0.05247,0.02384
2677.62728,2112.30127,0.08106,0.03748,0.10025,0.09896,0.07915,0.10792,0.11089,0.11504,0.13251,0.13676
2446.21909,1896.12775,0.10469,0.06983,0.14426,0.10348,0.10391,0.09258,0.11358,0.10701,0.08855,0.0721
2250.40554,1782.32307,0.11793,0.05783,0.18975,0.10308,0.1581,0.06792,0.14362,0.12567,0.03601,0.0001
1941.65357,1941.09973,0.9991,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2444.29206,1900.524,0.10605,0.08206,0.13867,0.10212,0.09854,0.08858,0.10756,0.09601,0.09011,0.0903
2443.82494,1765.1145,0.09152,0.20032,0.03498,0.11889,0.09284,0.11604,0.09489,0.07985,0.07503,0.09564
2393.99167,1853.80239,0.10782,0.04931,0.16339,0.10758,0.12029,0.09697,0.13129,0.12536,0.07642,0.02158
1935.03654,1825.82037,0.38302,0.19786,0.19592,0.10917,0.06141,0.0001,0.0001,0.02663,0.02569,0.0001
2043.73572,1723.21213,0.26595,0.14445,0.174,0.12048,0.12462,0.0001,0.08141,0.07387,0.01502,0.0001
2351.91185,1878.67944,0.10591,0.03369,0.17764,0.11241,0.1219,0.07362,0.13798,0.17609,0.06065,0.0001
2420.00791,1839.6323,0.10316,0.14539,0.09833,0.10678,0.09103,0.09229,0.09518,0.08081,0.08272,0.1043
1874.20996,1758.378,0.23568,0.54929,0.09785,0.02289,0.0154,0.0001,0.04994,0.02865,0.0001,0.0001
2363.69649,1829.53168,0.11129,0.07664,0.16243,0.10888,0.112,0.08941,0.11979,0.10417,0.07288,0.04249
2668.96753,2095.96325,0.07749,0.00319,0.11725,0.10545,0.09327,0.11996,0.1284,0.13887,0.12738,0.08874
2747.76454,2187.72448,0.07689,0.03232,0.08666,0.09795,0.07216,0.11168,0.10361,0.10397,0.14402,0.17076
2150.90613,1989.17073,0.39565,0.17804,0.21663,0.00102,0.09803,0.0001,0.0001,0.11024,0.0001,0.0001
2330.03588,1816.53227,0.11404,0.10081,0.15916,0.11139,0.10303,0.08209,0.11229,0.08188,0.07097,0.06434
2303.00809,1759.00561,0.10908,0.16063,0.10834,0.11854,0.09174,0.08744,0.11944,0.06894,0.06692,0.06893
2470.93808,1932.88687,0.1067,0.08876,0.12868,0.09792,0.09471,0.08652,0.09703,0.08642,0.09524,0.11803
2213.26993,1720.83247,0.11485,0.16042,0.12603,0.12666,0.09348,0.08116,0.13699,0.05946,0.05634,0.04462
2502.24785,2222.09949,0.18782,0.0001,0.14461,0.11058,0.38352,0.03048,0.0001,0.1294,0.0133,0.0001
2569.54227,2024.02611,0.09654,0.07114,0.11107,0.09463,0.08692,0.09339,0.09833,0.09775,0.11344,0.13679
2333.74552,1813.06997,0.11353,0.09178,0.16349,0.11112,0.10793,0.08487,0.11586,0.09181,0.06951,0.05011
2432.48821,1879.60994,0.10647,0.11871,0.11782,0.10212,0.09258,0.08709,0.0948,0.08135,0.08754,0.11152
2385.65555,1812.9313,0.10442,0.15017,0.10183,0.11081,0.09057,0.09121,0.10213,0.07716,0.07814,0.09356
2148.82424,1717.43737,0.12687,0.10732,0.19058,0.12743,0.11773,0.07017,0.1422,0.07737,0.04023,0.0001
2345.10017,1776.05045,0.10571,0.16336,0.09692,0.11577,0.09102,0.09147,0.11112,0.07267,0.07151,0.08045
2252.15671,1770.22251,0.11619,0.10972,0.16705,0.1223,0.09797,0.07814,0.12921,0.06669,0.06361,0.04913
2431.3409,1859.04368,0.10389,0.13752,0.10339,0.10386,0.09101,0.09025,0.09248,0.08224,0.08549,0.10988
2550.45095,2009.48958,0.10086,0.07732,0.11396,0.09311,0.09117,0.09124,0.09189,0.09219,0.10832,0.13994
2551.95029,2006.40259,0.09775,0.07453,0.11358,0.09524,0.08733,0.09191,0.0995,0.09725,0.11086,0.13207
2128.00678,1712.61754,0.1275,0.10836,0.19249,0.12936,0.1168,0.06785,0.14671,0.07402,0.0368,0.0001
2399.41733,1858.33983,0.10708,0.04786,0.16259,0.10764,0.11983,0.09763,0.1315,0.12598,0.07749,0.02239
2469.92321,1951.76294,0.09921,0.0092,0.15628,0.10326,0.12675,0.10269,0.13844,0.16683,0.08778,0.00957
1937.06968,1923.12725,0.64343,0.10282,0.25305,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2594.31732,2028.61256,0.08868,0.03975,0.11919,0.10145,0.09175,0.10517,0.11699,0.11942,0.11605,0.10155
2696.22879,2130.31672,0.08508,0.05848,0.08424,0.09491,0.08214,0.10866,0.08901,0.09678,0.13015,0.17054
2281.50421,1802.36291,0.11734,0.05909,0.18727,0.11219,0.13138,0.07318,0.13318,0.14111,0.04515,0.0001
2723.75449,2140.6111,0.08286,0.06036,0.0746,0.09582,0.08376,0.11455,0.08389,0.0945,0.13129,0.17837
2741.11902,2159.06301,0.07287,0.01097,0.09794,0.1031,0.07895,0.11928,0.11832,0.1234,0.14146,0.13372
2243.26168,1760.83093,0.11687,0.10429,0.17541,0.12357,0.10546,0.08038,0.12794,0.07377,0.05837,0.03394
2407.83785,1865.0983,0.10598,0.04631,0.16133,0.10786,0.11883,0.09858,0.13129,0.12605,0.07912,0.02466
2542.58087,1990.64878,0.09698,0.06778,0.11928,0.09775,0.09026,0.09424,0.1056,0.10335,0.10846,0.11629
2128.58816,1713.38623,0.18861,0.08215,0.19294,0.10106,0.18307,0.03559,0.1289,0.07891,0.00867,0.0001
2568.54686,2000.02301,0.09998,0.10146,0.09241,0.09253,0.09699,0.09884,0.07618,0.08945,0.10317,0.149
2442.5709,1901.08132,0.10647,0.08561,0.13729,0.10189,0.097,0.08747,0.10589,0.09266,0.09041,0.09531
2403.94309,1858.77855,0.10705,0.06014,0.15835,0.10733,0.11352,0.0948,0.12419,0.11611,0.07929,0.03922
2415.06177,1880.41358,0.10867,0.09268,0.14114,0.1037,0.09672,0.08528,0.10553,0.08672,0.08625,0.09332
2504.79883,1957.32367,0.1012,0.07752,0.12437,0.09793,0.09228,0.09032,0.10373,0.09844,0.10197,0.11224
2399.82881,1831.46953,0.1048,0.14303,0.10573,0.10785,0.09061,0.08969,0.09879,0.079,0.08103,0.09946
2273.13422,1768.16997,0.11382,0.13105,0.14154,0.11993,0.0942,0.08073,0.12617,0.06594,0.06601,0.06062
2182.00909,1748.2404,0.1209,0.06211,0.19261,0.08837,0.20365,0.0608,0.16301,0.08653,0.02192,0.0001
2544.25915,1844.80885,0.08676,0.18806,0.02349,0.10873,0.09369,0.12084,0.07478,0.09004,0.088,0.12562
1948.03131,1710.44819,0.2355,0.30105,0.13735,0.06227,0.10324,0.0001,0.07608,0.0842,0.0001,0.0001
2352.21691,1844.28517,0.11064,0.04547,0.17562,0.11152,0.12506,0.08495,0.13166,0.14762,0.06541,0.00205
2267.95955,1776.06792,0.11501,0.11899,0.15411,0.12019,0.09426,0.07831,0.1273,0.06474,0.06689,0.0602
2354.01426,1753.18932,0.10269,0.18498,0.07148,0.1182,0.09278,0.09877,0.11086,0.0732,0.06853,0.07851
2360.81486,1801.93397,0.10618,0.14881,0.10927,0.11247,0.09012,0.08859,0.10669,0.07485,0.07578,0.08724
2448.58808,1932.62067,0.09928,0.01544,0.15802,0.10569,0.12326,0.09993,0.14145,0.16497,0.08603,0.00593
2684.28313,2124.86832,0.08145,0.04339,0.09588,0.09734,0.07621,0.10593,0.10671,0.11021,0.1344,0.14847
2555.34965,2012.41387,0.09908,0.075,0.11331,0.09397,0.08913,0.09182,0.09539,0.09476,0.11024,0.13731
2446.02637,1899.81216,0.10558,0.07794,0.14029,0.1024,0.10032,0.08988,0.1095,0.09991,0.08974,0.08446
2552.89535,2008.2653,0.09826,0.07475,0.11353,0.09479,0.088,0.09185,0.09801,0.09633,0.11059,0.1339
2415.58484,1821.87965,0.10173,0.15518,0.08928,0.1096,0.09124,0.09564,0.09692,0.07975,0.08036,0.1003
2600.61705,1940.86667,0.09053,0.1509,0.04484,0.0952,0.0936,0.11133,0.06402,0.0947,0.10133,0.15355
1854.0737,1701.18228,0.14073,0.0487,0.16608,0.05218,0.26836,0.0192,0.30444,0.0001,0.0001,0.0001
2178.96131,1718.89083,0.11779,0.14389,0.14807,0.1302,0.09376,0.07655,0.14412,0.05422,0.05448,0.03692
2226.9033,1756.16385,0.11722,0.11104,0.17089,0.12542,0.09826,0.07729,0.13417,0.06383,0.06035,0.04153
2691.48157,2131.84426,0.08532,0.05662,0.08697,0.09478,0.08125,0.10721,0.09098,0.09759,0.13054,0.16873
2579.51439,1956.2468,0.09431,0.13812,0.06154,0.09418,0.09278,0.10478,0.06873,0.0916,0.10162,0.15232
2683.55483,2132.07406,0.08343,0.04948,0.09338,0.09557,0.07556,0.10372,0.1013,0.10374,0.13422,0.15961
2007.47369,1722.58524,0.27683,0.18587,0.15637,0.11303,0.11454,0.0001,0.07377,0.0691,0.01029,0.0001
1935.4795,1730.3495,0.10275,0.04454,0.17256,0.05392,0.25384,0.03973,0.30688,0.02559,0.0001,0.0001
