Liquidus temperature,Solidus temperature,Mole fraction Ti,Mole fraction Zr,Mole fraction Hf,Mole fraction V,Mole fraction Nb,Mole fraction Ta,Mole fraction Cr,Mole fraction Mo,Mole fraction W,Mole fraction Re
2210.916,1665.58331,0.10103,0.21326,0.06851,0.14562,0.0877,0.10636,0.14463,0.04883,0.04968,0.03436
2130.88123,1622.44186,0.08582,0.26067,0.03239,0.17807,0.09152,0.09625,0.14959,0.0434,0.04242,0.01986
2132.54397,1602.78597,0.06401,0.26046,0.02677,0.24643,0.07711,0.08914,0.12812,0.02483,0.06325,0.01987
1738.9264,1617.06923,0.168,0.25524,0.09519,0.12847,0.1084,0.001,0.21218,0.02951,0.001,0.001
1962.68687,1609.50599,0.08189,0.26453,0.05392,0.20979,0.09064,0.06727,0.17253,0.02462,0.03381,0.001
1921.3691,1610.8886,0.08801,0.26348,0.05955,0.20521,0.09128,0.06128,0.18039,0.0211,0.02871,0.001
2120.31605,1642.48974,0.10731,0.22342,0.06445,0.15287,0.08815,0.10047,0.1686,0.0329,0.04127,0.02056
1802.81693,1634.44632,0.14674,0.21747,0.11869,0.13162,0.10241,0.04047,0.21409,0.02476,0.00276,0.001
1861.62018,1608.70635,0.09637,0.26462,0.06366,0.20142,0.09479,0.04645,0.19089,0.01683,0.02395,0.001
2120.97462,1609.37659,0.06136,0.2621,0.03109,0.22802,0.08345,0.08756,0.13727,0.03264,0.05457,0.02194
2135.32606,1657.06504,0.10852,0.20819,0.0861,0.14749,0.08785,0.09622,0.15955,0.04058,0.04383,0.02167
1668.5894,1609.26009,0.25931,0.19885,0.12259,0.13609,0.08292,0.001,0.19624,0.001,0.001,0.001
1597.17922,1546.70227,0.174,0.42469,0.05016,0.20324,0.01452,0.001,0.12939,0.001,0.001,0.001
1642.95857,1592.42781,0.22115,0.27192,0.0954,0.14842,0.07452,0.001,0.18458,0.001,0.001,0.001
2218.58705,1628.34314,0.06985,0.25881,0.01978,0.18713,0.08837,0.10669,0.12986,0.0498,0.05291,0.03679
2048.00636,1634.58829,0.11261,0.22593,0.07154,0.15616,0.08935,0.09098,0.18141,0.02599,0.0358,0.01022
1921.0196,1618.96492,0.10945,0.25217,0.06606,0.17523,0.09367,0.06519,0.19077,0.02228,0.02418,0.001
1747.69501,1615.19365,0.14732,0.27831,0.08228,0.13376,0.10876,0.001,0.20903,0.03753,0.001,0.001
2119.35517,1620.20634,0.0819,0.26155,0.03355,0.18575,0.09083,0.0933,0.14971,0.04147,0.04305,0.01889
1666.57641,1607.6023,0.21843,0.23514,0.10795,0.13198,0.0948,0.001,0.20408,0.00462,0.001,0.001
1673.82721,1610.22058,0.27141,0.18897,0.12723,0.13627,0.07961,0.001,0.19251,0.001,0.001,0.001
1963.71115,1621.15037,0.10797,0.2496,0.06387,0.17153,0.09293,0.075,0.18533,0.02513,0.02763,0.001
1785.46063,1627.55166,0.14241,0.23381,0.09899,0.14038,0.1018,0.04155,0.21622,0.02113,0.00272,0.001
