Test temp,UTS,Solidus temperature,Mo,Nb,Re,Ta,W,Hf,Zr,Ti,C,Al,Si,V,Cr
471.3365285,1000.0,3456.79713,1.9405997703259704e-06,2.0041739648318755e-06,0.999954350570866,1.0290286239483815e-06,1.0128402304328591e-06,1.043198767229407e-06,2.0411355341004214e-06,3.88995650370353e-06,1.550250170366971e-05,6.901035110071995e-06,6.629775078342092e-06,3.655183847408829e-06,0.0
470.1003588,469.8205546,3693.6575,1.9159326627480096e-06,1.9786987609534626e-06,9.872547164750602e-07,1.0159485648059072e-06,0.9999549435353712,1.0299385903449579e-06,2.0151905089742997e-06,3.840510978140922e-06,1.530544825498889e-05,6.813315541069452e-06,6.545503515717061e-06,3.6087225344890028e-06,0.0
472.2303743,383.360522,2895.92371,0.9999769616295072,1.0327476423647676e-06,5.152805474855682e-07,5.302568060241722e-07,5.219149527069472e-07,5.375586582197612e-07,1.051793879961909e-06,2.0044883720652057e-06,7.988414362304987e-06,3.55609236766091e-06,3.416312506654508e-06,1.8835103973311583e-06,0.0
467.4644647,339.314845,2587.32574,1.885793106701558e-06,1.947571830782929e-06,9.717242025703357e-07,0.9999556680502698,9.842354688207925e-07,1.0137366159897725e-06,1.9834895267475062e-06,3.7800958611990415e-06,1.5064678094081635e-05,6.706135205557195e-06,6.442536133877427e-06,3.551953683892593e-06,0.0
469.50319379999996,213.7030995,2749.88219,9.682681853912172e-07,0.9999777241307973,4.989357671209315e-07,5.134369763729052e-07,5.053597279606575e-07,5.205072126633833e-07,1.0184308119386048e-06,1.9409056842561116e-06,7.735020596810198e-06,3.4432925560060633e-06,3.3079465342716805e-06,1.8237651499914077e-06,0.0
371.28665908999994,1089.722675,3456.79713,1.9405997703259704e-06,2.0041739648318755e-06,0.999954350570866,1.0290286239483815e-06,1.0128402304328591e-06,1.043198767229407e-06,2.0411355341004214e-06,3.88995650370353e-06,1.550250170366971e-05,6.901035110071995e-06,6.629775078342092e-06,3.655183847408829e-06,0.0
421.205093,499.1843393,3693.6575,1.9159326627480096e-06,1.9786987609534626e-06,9.872547164750602e-07,1.0159485648059072e-06,0.9999549435353712,1.0299385903449579e-06,2.0151905089742997e-06,3.840510978140922e-06,1.530544825498889e-05,6.813315541069452e-06,6.545503515717061e-06,3.6087225344890028e-06,0.0
348.92149667,497.5530179,2895.92371,0.9999769616295072,1.0327476423647676e-06,5.152805474855682e-07,5.302568060241722e-07,5.219149527069472e-07,5.375586582197612e-07,1.051793879961909e-06,2.0044883720652057e-06,7.988414362304987e-06,3.55609236766091e-06,3.416312506654508e-06,1.8835103973311583e-06,0.0
274.234025729,464.9265905,2587.32574,1.885793106701558e-06,1.947571830782929e-06,9.717242025703357e-07,0.9999556680502698,9.842354688207925e-07,1.0137366159897725e-06,1.9834895267475062e-06,3.7800958611990415e-06,1.5064678094081635e-05,6.706135205557195e-06,6.442536133877427e-06,3.551953683892593e-06,0.0
273.84225502699996,296.9004894,2749.88219,9.682681853912172e-07,0.9999777241307973,4.989357671209315e-07,5.134369763729052e-07,5.053597279606575e-07,5.205072126633833e-07,1.0184308119386048e-06,1.9409056842561116e-06,7.735020596810198e-06,3.4432925560060633e-06,3.3079465342716805e-06,1.8237651499914077e-06,0.0
678.4995508,849.9184339,3456.79713,1.9405997703259704e-06,2.0041739648318755e-06,0.999954350570866,1.0290286239483815e-06,1.0128402304328591e-06,1.043198767229407e-06,2.0411355341004214e-06,3.88995650370353e-06,1.550250170366971e-05,6.901035110071995e-06,6.629775078342092e-06,3.655183847408829e-06,0.0
679.7090953,368.6786297,3693.6575,1.9159326627480096e-06,1.9786987609534626e-06,9.872547164750602e-07,1.0159485648059072e-06,0.9999549435353712,1.0299385903449579e-06,2.0151905089742997e-06,3.840510978140922e-06,1.530544825498889e-05,6.813315541069452e-06,6.545503515717061e-06,3.6087225344890028e-06,0.0
677.2177379,300.1631321,2895.92371,0.9999769616295072,1.0327476423647676e-06,5.152805474855682e-07,5.302568060241722e-07,5.219149527069472e-07,5.375586582197612e-07,1.051793879961909e-06,2.0044883720652057e-06,7.988414362304987e-06,3.55609236766091e-06,3.416312506654508e-06,1.8835103973311583e-06,0.0
677.1302551,262.6427406,2587.32574,1.885793106701558e-06,1.947571830782929e-06,9.717242025703357e-07,0.9999556680502698,9.842354688207925e-07,1.0137366159897725e-06,1.9834895267475062e-06,3.7800958611990415e-06,1.5064678094081635e-05,6.706135205557195e-06,6.442536133877427e-06,3.551953683892593e-06,0.0
