V,Nb,Ti,Mo,Ta,Hf,Cr,Zr,W,Re,Liquidus temperature,Solidus temperature
0.112,0.122,0.12,0.136,0.163,0.047,0.02,0.001,0.162,0.117,2911.60946,2531.17185
0.101,0.093,0.085,0.122,0.142,0.055,0.064,0.001,0.166,0.171,2916.75017,2439.24984
0.146,0.074,0.077,0.107,0.201,0.001,0.001,0.001,0.217,0.175,3141.67308,2834.5739
0.001,0.094,0.001,0.182,0.371,0.001,0.001,0.001,0.266,0.082,3373.52275,3242.25828
0.044,0.228,0.021,0.322,0.19,0.001,0.001,0.001,0.121,0.071,3019.94823,2909.45151
0.166,0.045,0.006,0.042,0.207,0.005,0.001,0.001,0.141,0.386,3175.63988,2857.02673
0.102,0.07,0.001,0.073,0.139,0.062,0.066,0.065,0.095,0.327,2843.67976,2434.89828
0.1,0.213,0.112,0.325,0.107,0.037,0.001,0.001,0.059,0.045,2786.34837,2602.15325
0.087,0.088,0.069,0.124,0.129,0.07,0.089,0.001,0.154,0.189,2878.13853,2357.80664
0.094,0.083,0.067,0.116,0.125,0.086,0.101,0.001,0.146,0.181,2828.68535,2278.30822
0.105,0.075,0.044,0.107,0.141,0.061,0.073,0.001,0.156,0.237,2952.08716,2457.74635
0.121,0.112,0.062,0.184,0.166,0.006,0.014,0.001,0.199,0.135,3053.36826,2778.01602
0.119,0.112,0.101,0.152,0.161,0.027,0.017,0.001,0.182,0.128,2974.66966,2633.45235
0.159,0.048,0.034,0.055,0.219,0.001,0.001,0.001,0.18,0.302,3216.29249,2888.32495
0.098,0.149,0.112,0.173,0.162,0.036,0.014,0.001,0.151,0.104,2917.70679,2603.85073
0.117,0.129,0.122,0.134,0.164,0.069,0.029,0.001,0.149,0.086,2838.65344,2418.33442
0.161,0.03,0.001,0.038,0.205,0.001,0.001,0.003,0.114,0.446,3189.49117,2841.01926
0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2746.40055,2740.91066
0.091,0.192,0.118,0.235,0.15,0.05,0.001,0.001,0.108,0.054,2836.77039,2592.70722
0.003,0.001,0.001,0.989,0.001,0.001,0.001,0.001,0.001,0.001,2890.92193,2879.7201
0.111,0.136,0.07,0.202,0.161,0.012,0.011,0.001,0.18,0.116,3005.10555,2742.71801
0.099,0.06,0.001,0.082,0.13,0.07,0.083,0.045,0.109,0.321,2860.48985,2442.61341
0.113,0.098,0.102,0.121,0.155,0.045,0.038,0.001,0.174,0.153,2943.62795,2514.11676
0.113,0.228,0.102,0.421,0.061,0.028,0.001,0.001,0.009,0.036,2733.03815,2590.31422
0.001,0.116,0.001,0.269,0.31,0.001,0.001,0.001,0.229,0.071,3272.6398,3154.50507
0.134,0.216,0.132,0.397,0.05,0.057,0.001,0.001,0.008,0.004,2662.48529,2464.8532
0.001,0.84,0.001,0.152,0.001,0.001,0.001,0.001,0.001,0.001,2772.28899,2750.04459
0.132,0.063,0.024,0.078,0.159,0.053,0.042,0.001,0.148,0.3,3021.18845,2570.02059
0.001,0.923,0.001,0.001,0.001,0.069,0.001,0.001,0.001,0.001,2685.57785,2636.61036
0.092,0.094,0.079,0.125,0.134,0.068,0.078,0.001,0.156,0.173,2878.58373,2371.56147
0.137,0.208,0.061,0.551,0.001,0.022,0.001,0.001,0.001,0.017,2699.44992,2583.00603
0.001,0.775,0.133,0.011,0.001,0.075,0.001,0.001,0.001,0.001,2580.54552,2458.39403
0.098,0.213,0.11,0.324,0.109,0.036,0.001,0.001,0.061,0.047,2792.95406,2610.21148
0.093,0.072,0.063,0.097,0.119,0.068,0.094,0.035,0.144,0.215,2817.29941,2274.25608
0.114,0.076,0.053,0.103,0.147,0.055,0.06,0.001,0.166,0.225,2971.96107,2491.7557
0.045,0.261,0.04,0.331,0.183,0.001,0.001,0.001,0.09,0.047,2956.9833,2862.74945
0.059,0.257,0.067,0.313,0.164,0.001,0.001,0.001,0.082,0.055,2922.12886,2820.29706
0.091,0.083,0.066,0.12,0.129,0.066,0.091,0.001,0.159,0.194,2890.71493,2370.77304
0.118,0.131,0.129,0.136,0.163,0.085,0.032,0.001,0.144,0.061,2788.66262,2352.28967
0.117,0.078,0.083,0.109,0.147,0.047,0.055,0.001,0.183,0.18,2961.2176,2491.37558
0.057,0.255,0.068,0.304,0.169,0.001,0.001,0.001,0.088,0.056,2930.87676,2827.19908
0.108,0.31,0.085,0.45,0.001,0.042,0.001,0.001,0.001,0.001,2674.12664,2530.03626
0.098,0.086,0.076,0.121,0.137,0.058,0.076,0.001,0.165,0.182,2912.65885,2415.39777
0.111,0.191,0.131,0.272,0.121,0.058,0.001,0.001,0.084,0.03,2763.5525,2522.24448
0.001,0.263,0.001,0.001,0.001,0.729,0.001,0.001,0.001,0.001,2349.0079,2332.89545
0.064,0.055,0.001,0.096,0.328,0.001,0.001,0.001,0.222,0.231,3421.43431,3190.30389
0.106,0.097,0.094,0.122,0.148,0.05,0.052,0.001,0.169,0.161,2927.04667,2472.39181
0.001,0.714,0.154,0.063,0.001,0.063,0.001,0.001,0.001,0.001,2616.66686,2506.76452
0.115,0.135,0.123,0.145,0.166,0.057,0.022,0.001,0.15,0.086,2861.51835,2478.20325
0.117,0.079,0.08,0.108,0.148,0.048,0.053,0.001,0.183,0.183,2965.67431,2496.32953
0.091,0.198,0.116,0.251,0.142,0.047,0.001,0.001,0.1,0.053,2829.60112,2599.51421
0.112,0.116,0.11,0.126,0.157,0.073,0.046,0.001,0.15,0.109,2843.14007,2377.27917
0.109,0.326,0.104,0.398,0.001,0.058,0.001,0.001,0.001,0.001,2647.88447,2478.56986
0.001,0.915,0.001,0.001,0.001,0.077,0.001,0.001,0.001,0.001,2678.62656,2625.40904
0.109,0.072,0.023,0.096,0.143,0.063,0.072,0.001,0.14,0.281,2959.63208,2480.10415
0.1,0.07,0.013,0.08,0.133,0.064,0.075,0.058,0.108,0.299,2839.78938,2395.88173
0.066,0.059,0.001,0.091,0.319,0.001,0.001,0.001,0.209,0.252,3406.37346,3163.35764
0.102,0.084,0.068,0.114,0.137,0.057,0.075,0.001,0.167,0.195,2925.46969,2430.59111
0.094,0.188,0.123,0.221,0.154,0.052,0.001,0.001,0.114,0.052,2835.20463,2580.28114
0.001,0.001,0.001,0.001,0.001,0.936,0.001,0.044,0.013,0.001,2464.63042,2413.94345
0.001,0.701,0.191,0.043,0.001,0.059,0.001,0.001,0.001,0.001,2586.48358,2459.36421
0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2746.40055,2740.91066
0.116,0.054,0.001,0.061,0.138,0.063,0.049,0.055,0.086,0.377,2857.15566,2498.56264
0.113,0.118,0.112,0.128,0.157,0.075,0.045,0.001,0.149,0.102,2833.64945,2369.73299
0.121,0.118,0.066,0.189,0.162,0.009,0.012,0.001,0.193,0.129,3032.43475,2758.9083
0.134,0.214,0.073,0.516,0.008,0.02,0.001,0.001,0.001,0.032,2700.80907,2587.25813
0.109,0.106,0.101,0.122,0.151,0.068,0.055,0.001,0.154,0.133,2864.81193,2385.39094
0.114,0.128,0.121,0.134,0.158,0.086,0.04,0.001,0.144,0.074,2793.14542,2337.64736
0.154,0.078,0.088,0.109,0.177,0.017,0.001,0.001,0.211,0.164,3068.23092,2721.98189
0.001,0.77,0.092,0.073,0.001,0.059,0.001,0.001,0.001,0.001,2653.65116,2568.41772
0.093,0.09,0.077,0.124,0.134,0.064,0.079,0.001,0.159,0.179,2891.49098,2386.81426
0.044,0.28,0.044,0.349,0.177,0.001,0.001,0.001,0.069,0.034,2925.77844,2842.75633
0.0001,0.0001,0.0001,0.01799,0.79603,0.0,0.0,0.0,0.18558,0.0001,3362.51161,3343.78548
0.0001,0.00591,0.0001,0.00551,0.95561,0.0,0.0,0.0,0.0255,0.00727,3300.18918,3293.41573
0.0001,0.0001,0.0001,0.0001,0.97804,0.0,0.0,0.0,0.02082,0.00075,3300.55386,3298.39889
0.0001,0.0001,0.0001,0.01919,0.0001,0.0,0.0,0.0,0.98031,0.0001,3681.07356,3674.05484
0.0001,0.0001,0.0001,0.09303,0.37211,0.0,0.0,0.0,0.50035,0.03421,3553.96441,3460.66654
0.0001,0.0001,0.0001,0.09435,0.36673,0.0,0.0,0.0,0.50372,0.0349,3555.17651,3462.00836
0.0001,0.0001,0.0001,0.02547,0.75444,0.0,0.0,0.0,0.21969,0.0001,3372.32942,3349.27469
0.0001,0.0001,0.0001,0.02058,0.0001,0.0,0.0,0.0,0.97892,0.0001,3680.10121,3672.64935
0.0001,0.0001,0.0001,0.08894,0.3932,0.0,0.0,0.0,0.48561,0.03195,3548.36109,3454.44752
0.0001,0.08984,0.0001,0.15872,0.40536,0.0,0.0,0.0,0.2714,0.07449,3395.79715,3279.23598
0.0001,0.03593,0.0001,0.02103,0.85774,0.0,0.0,0.0,0.07395,0.01115,3306.31938,3282.05502
0.0001,0.0001,0.0001,0.13481,0.20214,0.0,0.0,0.0,0.60674,0.056,3559.13766,3490.70466
0.0001,0.0001,0.0001,0.08866,0.39463,0.0,0.0,0.0,0.4846,0.0318,3547.94656,3454.01685
0.0001,0.0001,0.0001,0.09448,0.3662,0.0,0.0,0.0,0.50405,0.03497,3555.29203,3462.13957
0.0001,0.04814,0.0001,0.09961,0.62404,0.0,0.0,0.0,0.2279,0.0001,3303.26684,3255.83994
0.0001,0.08948,0.0001,0.15926,0.40678,0.0,0.0,0.0,0.2714,0.07288,3394.30074,3278.11101
0.0001,0.0001,0.0001,0.09453,0.36602,0.0,0.0,0.0,0.50417,0.03499,3555.33149,3462.18452
0.0001,0.0001,0.0001,0.09457,0.36585,0.0,0.0,0.0,0.50427,0.03501,3555.3684,3462.22664
0.0001,0.0001,0.0001,0.09364,0.36962,0.0,0.0,0.0,0.50191,0.03453,3554.53246,3461.28773
0.0001,0.0001,0.0001,0.08095,0.43502,0.0,0.0,0.0,0.45621,0.02752,3534.58045,3441.67365
0.0001,0.0001,0.0001,0.07173,0.48735,0.0,0.0,0.0,0.41893,0.02168,3511.22479,3423.97335
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.03532,0.0001,0.02731,0.83886,0.0,0.0,0.0,0.09045,0.00785,3307.65356,3280.65312
0.0001,0.0001,0.0001,0.0001,0.97922,0.0,0.0,0.0,0.02028,0.0001,3299.86053,3297.87308
0.0001,0.02115,0.0001,0.01787,0.91401,0.0,0.0,0.0,0.0323,0.01447,3292.50487,3277.24115
0.0001,0.0001,0.0001,0.02117,0.0001,0.0,0.0,0.0,0.97833,0.0001,3679.69256,3672.0591
0.0001,0.0001,0.0001,0.01991,0.0001,0.0,0.0,0.0,0.97959,0.0001,3680.57298,3673.3311
0.0001,0.0001,0.0001,0.05217,0.59267,0.0,0.0,0.0,0.34195,0.01291,3461.3468,3393.98543
0.0001,0.06082,0.0001,0.12611,0.53919,0.0,0.0,0.0,0.25817,0.01551,3341.62117,3260.50801
0.0001,0.0001,0.0001,0.09447,0.36625,0.0,0.0,0.0,0.50402,0.03496,3555.28096,3462.12696
0.0001,0.0001,0.0001,0.0001,0.97829,0.0,0.0,0.0,0.02078,0.00053,3300.39416,3298.28384
0.0001,0.0001,0.0001,0.14463,0.1622,0.0,0.0,0.0,0.63174,0.06112,3550.45891,3490.52983
0.0001,0.05645,0.0001,0.11697,0.56854,0.0,0.0,0.0,0.24777,0.01007,3330.01811,3258.72916
0.0001,0.0001,0.0001,0.019,0.0001,0.0,0.0,0.0,0.9805,0.0001,3681.20454,3674.24426
0.0001,0.0001,0.0001,0.05628,0.56743,0.0,0.0,0.0,0.36068,0.01531,3475.7906,3402.20606
0.0001,0.0001,0.0001,0.09596,0.36017,0.0,0.0,0.0,0.50783,0.03574,3556.5626,3463.62562
0.0001,0.0001,0.0001,0.01861,0.0001,0.0,0.0,0.0,0.98089,0.0001,3681.47122,3674.63004
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.0001,0.0001,0.0147,0.0001,0.0,0.0,0.0,0.9848,0.0001,3684.19412,3678.57497
0.0001,0.0001,0.0001,0.09202,0.37707,0.0,0.0,0.0,0.49695,0.03366,3552.74084,3459.2551
0.0001,0.0001,0.0001,0.0949,0.36451,0.0,0.0,0.0,0.50511,0.03518,3555.65539,3462.55631
0.0001,0.0001,0.0001,0.05743,0.0001,0.0,0.0,0.0,0.94207,0.0001,3654.32134,3635.89785
0.0001,0.0001,0.0001,0.0001,0.9784,0.0,0.0,0.0,0.02077,0.00043,3300.32004,3298.23051
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.0001,0.0001,0.00067,0.89076,0.0,0.0,0.0,0.10817,0.0001,3340.68907,3333.08364
0.0001,0.0001,0.0001,0.02375,0.76411,0.0,0.0,0.0,0.21174,0.0001,3370.01539,3347.93608
0.0001,0.0001,0.0001,0.01865,0.0001,0.0,0.0,0.0,0.98085,0.0001,3681.44532,3674.59257
0.0001,0.05305,0.0001,0.10988,0.5913,0.0,0.0,0.0,0.23971,0.00585,3319.63078,3257.34141
0.0001,0.0001,0.0001,0.14636,0.15519,0.0,0.0,0.0,0.63613,0.06202,3548.55671,3489.99781
0.0001,0.0001,0.0001,0.09481,0.36486,0.0,0.0,0.0,0.50489,0.03514,3555.58179,3462.47139
0.0001,0.0001,0.0001,0.01899,0.0001,0.0,0.0,0.0,0.98051,0.0001,3681.20782,3674.24901
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.0001,0.0001,0.14211,0.17248,0.0,0.0,0.0,0.62531,0.0598,3553.04287,3491.01719
0.0001,0.0001,0.0001,0.1455,0.15867,0.0,0.0,0.0,0.63396,0.06157,3549.51502,3490.28287
0.0001,0.0001,0.0001,0.09481,0.36486,0.0,0.0,0.0,0.50489,0.03514,3555.58192,3462.47154
0.0001,0.0001,0.0001,0.09405,0.36794,0.0,0.0,0.0,0.50296,0.03474,3554.90936,3461.70724
0.0001,0.0001,0.0001,0.03087,0.0001,0.0,0.0,0.0,0.96863,0.0001,3672.9325,3662.33091
0.0001,0.08871,0.0001,0.16045,0.40988,0.0,0.0,0.0,0.2714,0.06936,3390.8965,3275.54911
0.0001,0.03524,0.0001,0.03658,0.81179,0.0,0.0,0.0,0.11218,0.00401,3306.3059,3276.82079
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.0001,0.0001,0.05288,0.58833,0.0,0.0,0.0,0.34517,0.01332,3463.87206,3395.39106
0.0001,0.02206,0.0001,0.01803,0.91033,0.0,0.0,0.0,0.03499,0.01439,3293.71267,3277.78715
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.0001,0.0001,0.0001,0.97938,0.0,0.0,0.0,0.02012,0.0001,3299.78004,3297.80514
0.0001,0.0001,0.0001,0.01653,0.0001,0.0,0.0,0.0,0.98297,0.0001,3682.92042,3676.72826
0.0001,0.0001,0.0001,0.06311,0.0001,0.0,0.0,0.0,0.93639,0.0001,3650.32371,3630.28654
0.0001,0.0001,0.0001,0.0001,0.97922,0.0,0.0,0.0,0.02028,0.0001,3299.85883,3297.87165
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.0001,0.0001,0.0001,0.97857,0.0,0.0,0.0,0.02075,0.00028,3300.21305,3298.15362
0.0001,0.0001,0.0001,0.0915,0.37977,0.0,0.0,0.0,0.49505,0.03337,3552.04563,3458.45697
0.0001,0.04228,0.0001,0.08735,0.65777,0.0,0.0,0.0,0.2123,0.0001,3306.58081,3262.65149
0.0001,0.0001,0.0001,0.13796,0.00339,0.0,0.0,0.0,0.82818,0.03017,3565.41781,3520.27917
0.01496,0.09888,0.00264,0.13952,0.35545,0.0,0.0,0.0,0.26687,0.12167,3405.11057,3260.86596
0.0001,0.0001,0.0001,0.09476,0.36506,0.0,0.0,0.0,0.50477,0.03511,3555.53857,3462.42165
0.0001,0.0001,0.0001,0.0948,0.36492,0.0,0.0,0.0,0.50486,0.03513,3555.56891,3462.45656
0.0001,0.0001,0.0001,0.0001,0.97918,0.0,0.0,0.0,0.02032,0.0001,3299.88129,3297.89061
0.0001,0.0001,0.0001,0.10328,0.0001,0.0,0.0,0.0,0.89365,0.00267,3619.31204,3587.6029
0.0001,0.03698,0.0001,0.07468,0.6922,0.0,0.0,0.0,0.19584,0.0001,3309.73047,3269.68373
0.0001,0.03529,0.0001,0.0512,0.76725,0.0,0.0,0.0,0.14596,0.0001,3303.2692,3271.92289
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.0001,0.0001,0.0187,0.0001,0.0,0.0,0.0,0.9808,0.0001,3681.41417,3674.5475
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.0001,0.0001,0.09403,0.36804,0.0,0.0,0.0,0.5029,0.03473,3554.88718,3461.68239
0.0001,0.04335,0.0001,0.08984,0.65097,0.0,0.0,0.0,0.21554,0.0001,3305.98039,3261.32183
0.0001,0.0001,0.0001,0.09466,0.36547,0.0,0.0,0.0,0.50451,0.03506,3555.44866,3462.31844
0.0001,0.0001,0.0001,0.08684,0.40417,0.0,0.0,0.0,0.4779,0.03079,3545.08102,3451.13521
0.0001,0.0001,0.0001,0.09368,0.36944,0.0,0.0,0.0,0.50202,0.03455,3554.57297,3461.33252
0.0001,0.0352,0.0001,0.06558,0.71974,0.0,0.0,0.0,0.17918,0.0001,3308.90842,3272.01318
0.0001,0.0001,0.0001,0.08657,0.40558,0.0,0.0,0.0,0.47691,0.03064,3544.64122,3450.70656
0.0001,0.0001,0.0001,0.02086,0.78037,0.0,0.0,0.0,0.19837,0.0001,3366.14261,3345.73708
0.0001,0.08806,0.0001,0.16146,0.41252,0.0,0.0,0.0,0.2714,0.06637,3387.85984,3273.26696
0.0001,0.0001,0.0001,0.09306,0.37199,0.0,0.0,0.0,0.50042,0.03422,3553.99147,3460.69584
0.0001,0.09676,0.0001,0.14802,0.37747,0.0,0.0,0.0,0.27143,0.10611,3418.89085,3295.31563
0.0001,0.01329,0.0001,0.01101,0.93679,0.0,0.0,0.0,0.02819,0.01052,3296.10792,3285.45091
0.0001,0.0001,0.0001,0.0001,0.97919,0.0,0.0,0.0,0.02031,0.0001,3299.8749,3297.88521
0.02748,0.09859,0.00834,0.13455,0.34265,0.0,0.0,0.0,0.26193,0.12646,3384.25473,3220.17687
0.0001,0.03577,0.0001,0.01995,0.86224,0.0,0.0,0.0,0.06962,0.01223,3305.68954,3282.05632
0.0001,0.06021,0.0001,0.12484,0.54327,0.0,0.0,0.0,0.25672,0.01475,3340.12281,3260.26549
0.0001,0.0001,0.0001,0.01873,0.0001,0.0,0.0,0.0,0.98077,0.0001,3681.39243,3674.51605
