V,Nb,Ti,Mo,Ta,Hf,Cr,Zr,W,Re,Liquidus temperature,Solidus temperature
0.17807,0.09152,0.08582,0.0434,0.09625,0.03239,0.14959,0.26067,0.04242,0.01986,2130.88123,1622.44186
0.24643,0.07711,0.06401,0.02483,0.08914,0.02677,0.12812,0.26046,0.06325,0.01987,2132.54397,1602.78597
0.12847,0.1084,0.168,0.02951,0.001,0.09519,0.21218,0.25524,0.001,0.001,1738.9264,1617.06923
0.20979,0.09064,0.08189,0.02462,0.06727,0.05392,0.17253,0.26453,0.03381,0.001,1962.68687,1609.50599
0.20521,0.09128,0.08801,0.0211,0.06128,0.05955,0.18039,0.26348,0.02871,0.001,1921.3691,1610.8886
0.15287,0.08815,0.10731,0.0329,0.10047,0.06445,0.1686,0.22342,0.04127,0.02056,2120.31605,1642.48974
0.13162,0.10241,0.14674,0.02476,0.04047,0.11869,0.21409,0.21747,0.00276,0.001,1802.81693,1634.44632
0.20142,0.09479,0.09637,0.01683,0.04645,0.06366,0.19089,0.26462,0.02395,0.001,1861.62018,1608.70635
0.22802,0.08345,0.06136,0.03264,0.08756,0.03109,0.13727,0.2621,0.05457,0.02194,2120.97462,1609.37659
0.14749,0.08785,0.10852,0.04058,0.09622,0.0861,0.15955,0.20819,0.04383,0.02167,2135.32606,1657.06504
0.13609,0.08292,0.25931,0.001,0.001,0.12259,0.19624,0.19885,0.001,0.001,1668.5894,1609.26009
0.20324,0.01452,0.174,0.001,0.001,0.05016,0.12939,0.42469,0.001,0.001,1597.17922,1546.70227
0.14842,0.07452,0.22115,0.001,0.001,0.0954,0.18458,0.27192,0.001,0.001,1642.95857,1592.42781
0.18713,0.08837,0.06985,0.0498,0.10669,0.01978,0.12986,0.25881,0.05291,0.03679,2218.58705,1628.34314
0.15616,0.08935,0.11261,0.02599,0.09098,0.07154,0.18141,0.22593,0.0358,0.01022,2048.00636,1634.58829
0.17523,0.09367,0.10945,0.02228,0.06519,0.06606,0.19077,0.25217,0.02418,0.001,1921.0196,1618.96492
0.13376,0.10876,0.14732,0.03753,0.001,0.08228,0.20903,0.27831,0.001,0.001,1747.69501,1615.19365
