Solidus temperature,W,Nb,Hf,Mo,Re,Zr,Ta,Ti,C,Y,Al,Si,V,Cr,YS_300K,YS_400K,YS_500K,YS_600K,YS_700K,YS_800K,YS_900K,YS_1000K,YS_1100K,YS_1200K,YS_1300K,YS_1400K,YS_1500K,YS_1600K,YS_1700K,YS_1800K,YS_1900K,YS_2000K,YS_2100K,YS_2200K,YS_2300K,YS_2400K
3374.942826439148,0.51835196389578,0.0,0.08087100593207214,0.0662661261547718,0.0,0.0,0.3345109040173761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.3957730066339,896.7646728674168,898.4184432071665,833.5522152568332,828.4329210324998,846.0593552095,836.106714728,828.156716244,810.1011436354,693.8437300889835,694.5372182782336,672.1893770591669,393.5363004792999,329.28064653431693,293.61443057914175,282.17061955050366,273.4437542141051,189.8710108800208,165.06697049005393,157.81365255485397,154.43185881965397,131.57264075517907
3374.942826439148,0.5184138382041885,0.0,0.08087125472968795,0.06642586125849918,0.0,0.0,0.3342890458076243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.3957730066339,896.7646728674168,898.4184432071665,833.5522152568332,828.4329210324998,846.0593552095,836.106714728,828.156716244,810.1011436354,693.8437300889835,694.5372182782336,672.1893770591669,393.5363004792999,329.28064653431693,293.61443057914175,282.17061955050366,273.4437542141051,189.8710108800208,165.06697049005393,157.81365255485397,154.43185881965397,131.57264075517907
2126.355587036588,0.15705494279498516,0.13355798975650499,0.10915456934604335,0.07623903401266681,0.07013941197888374,0.138532890791443,0.14874099369546773,0.081785546399054,0.0,0.0,0.0,0.0,0.027990545699385538,0.05680407552556573,1399.3847641976247,1103.897151291083,1019.5498603314998,911.2783503934166,904.3625215064166,904.1842231069832,909.0983158270833,905.3195373685833,894.7178672770833,712.1576034082503,679.2675561793003,561.5313813220001,304.80117077314173,268.05771073635003,242.9862047660416,237.3463379965417,146.32497246670835,112.21895153807503,0.0,0.0,0.0,0.0
3655.999259780705,0.9789074854391842,0.0,0.0,0.011679867269609274,0.0,0.009412647291206716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.1593511749995,663.511077080341,581.84218848385,478.65967992609933,434.0538748220998,605.0376541005,572.7339066911832,541.0631901046544,519.1723210986041,495.37694105227064,487.13578204803775,473.0866277351091,312.1236933832711,285.16281359526624,196.6224333462677,190.1427900621697,182.3067429321319,114.16347985820522,104.54868098505648,94.22611007475136,86.00310186431619,75.41416618900786
1977.8387138103456,0.1042458727086456,0.058822071127022965,0.087928699683258,0.05983808755426614,0.06402544110209649,0.19846883764762366,0.11517421924990082,0.14204434970300414,0.0,0.0,0.0,0.0,0.13537931565395425,0.03407310557022781,1223.2969837061069,1006.9739036045831,977.8332585948333,929.3618495440833,926.8958013137496,924.7770088595831,927.1606430790832,922.4232668740832,895.0494931960832,694.5376541123336,581.2462611823335,537.4986464798334,285.243544793575,256.35178927640004,214.72912417703213,136.2683451228583,95.82231826704167,0.0,0.0,0.0,0.0,0.0
3655.999259780705,0.9787873199766439,0.0,0.0,0.011678808829383963,0.0,0.009533871193972096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.1593511749995,663.511077080341,581.84218848385,478.65967992609933,434.0538748220998,605.0376541005,572.7339066911832,541.0631901046544,519.1723210986041,495.37694105227064,487.13578204803775,473.0866277351091,312.1236933832711,285.16281359526624,196.6224333462677,190.1427900621697,182.3067429321319,114.16347985820522,104.54868098505648,94.22611007475136,86.00310186431619,75.41416618900786
3425.527794119951,0.5985895122218485,0.0,0.05496413725715295,0.07443204709561425,0.0,0.0,0.27201430342538424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.8436492915337,945.8026867483334,936.9123159596664,876.5749343353334,858.7237632235,895.3109446530002,881.5816517085,873.0490271540001,852.0529328199002,725.2958918839835,724.7258918839835,701.5482267210715,408.4618730983713,326.1836824980669,290.80148739664173,287.00775139029173,282.06772473535506,190.6270365889558,167.2309703375123,158.441936176779,153.70331411672896,132.89712123613737
2915.331779437769,0.4392109111723374,0.0,0.29489730838920364,0.0,0.009596218633136458,0.1218743011019238,0.1344212607033988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.6422551120836,731.3857582728333,712.0344704524998,598.1306058868333,619.3319056825835,616.9351254811668,613.7089358616669,612.1087336164834,610.1516778802334,578.2829610621252,579.7731208670141,561.9654369376808,407.2276871309,338.11056288155015,275.845811290138,259.19652518733795,252.64918740838792,184.62005553222193,161.5079217003343,159.1491179378343,142.94031588279145,120.68206604508318
3222.0206090735223,0.15077716039628808,0.0,0.08720689526179216,0.0,0.0,0.0,0.7620159443419197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.114635988126,662.9288398517499,644.7774645051667,527.5089000635,554.3202266169003,529.1566038415002,515.6673761905002,495.51803346600025,487.3262467617503,476.1544307300836,478.9593872087224,471.73479012563905,363.7759910012999,313.1933690108003,288.5866624974252,258.88814098293096,243.3667272175809,170.4205200896123,150.7622292503873,147.31140946713728,144.68445811648732,122.72569117368741
3440.961800396632,0.7795395909637071,0.0,0.0,0.12642167854330916,0.0,0.06173910503973459,0.03229962545324922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.7836073199,915.5000603405995,888.795634379891,788.4271416698085,773.1293360864751,841.1776044034746,834.8159561436746,824.4269979046747,802.0725059181917,680.7406315444833,680.2092503436666,653.7226764697551,364.92603779006294,287.6058223635517,259.03384885441204,250.39648386675378,242.40316759464093,155.0864884498772,131.6810590071708,119.84705405747073,118.68704197031028,97.96278924720487
